TAXKEY,lon,lat
2480881000,-87.976667,43.090559
4321161000,-87.91908,43.019281
3981331000,-87.919929,43.038124
2510551000,-87.998799,43.090271
2822105100,-87.912197,43.081917
3081191000,-87.957659,43.074641
3480041100,-87.959664,43.054605
4981831000,-87.917414,43.002521
4981833000,-87.917128,43.002511
6260361000,-87.915679,42.956523
6260371000,-87.916257,42.953854
0840432000,-87.975963,43.162771
1710396100,-87.961374,43.122804
1710641000,-87.964054,43.120267
2162551000,-88.044357,43.10695
2162552000,-88.043999,43.106956
3070214100,-87.97663,43.068192
3101321100,-87.939026,43.071322
3102901000,-87.942686,43.074785
3102902000,-87.942687,43.074703
3103001000,-87.93954,43.072026
3103002000,-87.939542,43.07191
3122020100,-87.919586,43.069242
3123102100,-87.924585,43.067786
3130003111,-87.917387,43.069047
3261742000,-87.956621,43.064794
3505031000,-87.943152,43.058923
3505071000,-87.943512,43.058437
3505072000,-87.943512,43.058437
3505081000,-87.944733,43.05853
3505082000,-87.944733,43.05853
3505091000,-87.944004,43.059412
3505092000,-87.944004,43.059412
3505101000,-87.946115,43.05943
3505102000,-87.946115,43.05943
3505111000,-87.946009,43.058947
3505112000,-87.946009,43.058947
3505121000,-87.946122,43.058948
3505122000,-87.946122,43.058948
3505131000,-87.946921,43.058955
3505132000,-87.946921,43.058955
3505141000,-87.947062,43.058956
3505142000,-87.947062,43.058956
3505151000,-87.947202,43.058957
3505152000,-87.947202,43.058957
3505161000,-87.945464,43.056228
3505162000,-87.945464,43.056228
3505171000,-87.944025,43.058036
3505172000,-87.944025,43.058036
3505181000,-87.944716,43.05966
3505182000,-87.944716,43.05966
3505191000,-87.944721,43.056583
3505192000,-87.944721,43.056583
3505201000,-87.944728,43.056106
3505202000,-87.944728,43.056106
3505211000,-87.94599,43.056059
3505212000,-87.94599,43.056059
3505221000,-87.945987,43.056231
3505222000,-87.945987,43.056231
3505231000,-87.943533,43.057009
3505232000,-87.943533,43.057009
3505241000,-87.945433,43.058289
3505242000,-87.945433,43.058289
3505251000,-87.945412,43.059665
3505252000,-87.945412,43.059665
3505261000,-87.945432,43.058372
3505262000,-87.945432,43.058372
3532072000,-87.9122,43.059296
3560143100,-87.882923,43.056055
3891205100,-87.945299,43.039779
3923053000,-87.909585,43.038969
3923054000,-87.909585,43.038969
3923055000,-87.909585,43.038969
3923056000,-87.909585,43.038969
3923057000,-87.909585,43.038969
3923058000,-87.909585,43.038969
3923059000,-87.909585,43.038969
3923060000,-87.909585,43.038969
3923061000,-87.909585,43.038969
3970691000,-87.908561,43.037197
3970692000,-87.908561,43.037197
3970693000,-87.908561,43.037197
4020514100,-87.958643,43.033316
4260151000,-87.93482,43.024549
4340169100,-87.944016,43.020312
4340249100,-87.938447,43.019427
4992191000,-87.899096,42.999228
5010721000,-87.886085,42.996953
5800345100,-87.912919,42.967308
5800355100,-87.912392,42.96676
5800379100,-87.911717,42.967183
3505034000,-87.942822,43.05892
3662053000,-87.958307,43.051742
3892051000,-87.943173,43.045017
4601911000,-87.93763,43.013107
4601912000,-87.937567,43.01317
4681761000,-87.926008,43.00978
2781581000,-87.877596,43.075355
4670549100,-87.918011,43.00755
3220470100,-87.908469,43.064653
2701311110,-87.93997,43.083383
3550017100,-87.891815,43.05398
3221421000,-87.916604,43.066378
3221431000,-87.915962,43.066945
3221432000,-87.915963,43.06684
3221433000,-87.915964,43.066734
3280631100,-87.969123,43.060886000000004
4332211100,-87.932694,43.018844
2080228100,-87.963153,43.108002
3180642000,-87.877776,43.066898
3191473000,-87.87847,43.065487
3191477000,-87.87847,43.065487
3230648100,-87.919517,43.061069
1540071100,-88.004273,43.132396
1540071200,-88.004273,43.132396
1921361000,-87.956778,43.112172
2701765100,-87.93871,43.088675
3532041000,-87.915292,43.055941
3920995100,-87.907764,43.034649
4290010110,-87.908089,43.027544
6870851000,-87.910194,42.937259
2140123100,-88.019769,43.107391
2722502100,-87.917555,43.088726
2822931000,-87.916766,43.07933
2830349100,-87.923304,43.079689
2830457100,-87.92581,43.078312
2830637100,-87.9241,43.075716
2842086100,-87.928897,43.081478
2842088100,-87.928902,43.081261
2850132100,-87.938237,43.077093
3100315100,-87.940244,43.072768
3170561000,-87.873065,43.07114
3201761000,-87.897473,43.06396
3201762000,-87.897473,43.06396
3201763000,-87.897473,43.06396
3201764000,-87.897473,43.06396
3232091000,-87.919105,43.060594
3502095100,-87.943619,43.059409
3502095200,-87.943619,43.059409
3532051000,-87.909278,43.057353
3662041000,-87.959921,43.049728
4281181000,-87.915074,43.027094
4290492000,-87.901982,43.029748
4601465100,-87.933473,43.01418
4680028100,-87.926012,43.009637
5770642000,-87.946094,42.967214
3505003000,-87.94224,43.056561
3505004000,-87.942105,43.05656
3180621000,-87.877014,43.066569
3201741000,-87.891121,43.060445
3291425111,-87.981596,43.064769
3882331000,-87.948282,43.040801
3981301000,-87.923514,43.036826
3231407100,-87.921862,43.061635
3633351000,-87.929307,43.049438
3633352000,-87.929183,43.049437
3505002000,-87.942376,43.056563
3212205100,-87.900677,43.063462
3882332000,-87.948282,43.040801
0440421000,-88.001641,43.171403
3532002100,-87.915006,43.058548
3532002200,-87.915006,43.058548
0440422000,-88.001641,43.171403
4000522110,-87.941969,43.037716
0440423000,-88.001641,43.171403
0330151100,-88.014855,43.182141
2510183100,-88.003987,43.091198
3530396100,-87.910846,43.058063
3630797100,-87.936216,43.051523
3651150100,-87.954834,43.049897
5381722000,-87.905944,42.982293
6441792000,-87.947684,42.950253
2090629100,-87.970507,43.106718
3122207100,-87.925627,43.070583
3180631000,-87.877924,43.062138
3102891000,-87.94516,43.074966
3212351000,-87.905042,43.067345
3212352000,-87.905082,43.067261
3232025100,-87.918369,43.060495
3481691000,-87.96367,43.060443
3532021000,-87.913804,43.056351
3882321000,-87.94798,43.040559
3910911000,-87.926442,43.041423
4311412000,-87.916677,43.023993
4332351000,-87.932003,43.021019
5351251000,-87.934192,42.984612
4029987100,-87.957972,43.034917
4621821000,-87.914248,43.01593
2080135100,-87.964712,43.110333
2451416100,-87.939129,43.092292
2701119100,-87.943375,43.082724
2710472111,-87.932831,43.088379
2781591000,-87.876073,43.074936
2781592000,-87.876073,43.074936
2830106100,-87.923087,43.081915
2852145100,-87.938186,43.079504
3129933110,-87.926474,43.070942
3132461000,-87.914436,43.072229
3132462000,-87.914444,43.071577
3221411000,-87.916663,43.061062
3231086110,-87.925065,43.065305
3240858100,-87.934868,43.066182
3250827111,-87.937878,43.0654
3490509100,-87.953631,43.05711
3531272100,-87.912194,43.057611
3541951000,-87.907194,43.058255
3590106100,-87.898825,43.045838
3633353000,-87.929136,43.049437
3930816100,-87.900029,43.042152
4621822000,-87.914278,43.015886
4691908100,-87.934061,43.005906
